NIAS LNG TERMINAL ? MANPOWER & SHIFT ROSTER,,,,,,,,,,,,,,,
Baseline Date: 2026-09-01 (Current Today) | 3:1 Rotation Cycle Engine (3Mo On-Site / 30d Off-Duty) | Total Manning: 22 Personnel,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,ON-SITE ACTIVE: 18 / 22 (82%),,,,OFF-DUTY LEAVE (AL): 4 / 22 (18%),,,,,ERT COMPLIANCE: 100% CLEARED [AUTHORIZED],,,,,
,,,,,,,,,,,,,,,
ID,Personnel Name,Position,Team,Department,Status,Today Shift,On-Site Days,,Target Cycle/Day,Cycle Start,Next Rotation (AL),Designated Reliever,Contact No,Radio CH,ERT Role
BSG259529,Edi Hermawan,Site Manager,Management,MANAGEMENT,On-Site,D,2026-07-09,28,92,2026-08-08,2026-11-08,HQ Delegate,0812-3332-8894,CH-01 (CMD),Incident Commander
BSG259524,Shadiq M. Shalih,OP Team Leader,Management ( Team A ),MANAGEMENT,Off-Site,Off,2026-08-12,0,91,2026-09-11,2026-12-11,Asman Sampeaman,+62 811-6502-3341,CH-01 (CMD),Incident Commander
BSG259736,Yusuf,Field Operator,TEAM-A,Operation Team ,On-Site,D,2026-05-20,78,92,2026-06-19,2026-09-19,Muradi,+62 813-8822-1044,CH-02 (OPS),Gas Leak Response
BSG259743,Erwin Supriatna,Field Operator,TEAM-A,Operation Team ,Off-Site,Off,2026-08-27,0,91,2026-09-26,2026-12-26,Ripal Fadiah,+62 812-4433-8890,CH-02 (OPS),First Aider
BSG259833,Asman Sampeaman,OP Team Leader,TEAM-B,Operation Team ,On-Site,D,2026-06-08,59,92,2026-07-08,2026-10-08,Juli Surungan,+62 812-9900-1122,CH-02 (OPS),Incident Commander
BSG258742,Muradi,Field Operator,TEAM-B,Operation Team ,On-Site,D,2026-06-08,59,92,2026-07-08,2026-10-08,Danang,+62 813-1122-3344,CH-02 (OPS),Gas Leak Response
BSG259735,Ripal Fadiah,Field Operator,TEAM-B,Operation Team ,On-Site,D,2026-06-28,39,92,2026-07-28,2026-10-28,Uliyansyah,+62 812-3344-5566,CH-02 (OPS),First Aider
BSG259530,Juli Surungan,OP Team Leader,TEAM-C,Operation Team ,On-Site,D,2026-07-09,28,92,2026-08-08,2026-11-08,Shadiq M. Shalih,+62 811-7788-9900,CH-02 (OPS),Incident Commander
BSG259634,Danang,Field Operator,TEAM-C,Operation Team ,On-Site,D,2026-06-08,59,92,2026-07-08,2026-10-08,Yusuf,+62 813-9988-7766,CH-02 (OPS),Gas Leak Response
BSG259532,Uliyansyah,Field Operator,TEAM-C,Operation Team ,On-Site,D,2026-07-13,24,92,2026-08-12,2026-11-12,Erwin Supriatna,+62 812-6655-4433,CH-02 (OPS),First Aider
BSG259237,Indra Prabayugo,Mechanic Engineer,Maintenance,MAINTENANCE,On-Site,D,2026-06-28,39,92,2026-07-28,2026-10-28,Agunawan,+62 812-7766-5544,CH-03 (MAINT),First Aider
BSG259420,Agunawan,Maintenance E&I,Maintenance,MAINTENANCE,On-Site,D,2026-05-25,73,92,2026-06-24,2026-09-24,Indra Prabayugo,+62 811-2233-4455,CH-03 (MAINT),Gas Leak Response
BSG259641,Arsyan AN,HSE Officer,HSSE Team,HSSE,On-Site,D,2026-06-28,39,92,2026-07-28,2026-10-28,Chandra R.D,+62 812-1144-7788,CH-04 (HSSE),Fire Chief
BSG259919,Chandra R.D,HSE Officer,HSSE Team,HSSE,On-Site,D,2026-04-21,107,92,2026-05-21,2026-08-21,Arsyan AN,+62 811-9988-1122,CH-04 (HSSE),Fire Chief
BSG259245,Indra Parulian,Super Cargo,Cargo Operation,Cargo Logistic,On-Site,D,2026-06-15,52,92,2026-07-15,2026-10-15,Rafi Anggara,+62 812-1144-7788,CH-04 (HSSE),Fire Chief
BSG259646,Rafi Anggara,Crane Operator,Cargo Operation,Cargo Logistic,On-Site,D,2026-06-11,56,92,2026-07-11,2026-10-11,Indra Parulian,+62 811-9988-1122,CH-04 (HSSE),Fire Chief
BSG259444,Albert A. Gea,HR / GA Officer,HR / GA,HR_GA,On-Site,D,2026-06-04,63,92,2026-07-04,2026-10-04,Jefi R. Zega,+62 813-6655-2211,CH-05 (LOG),First Aider
BSG199551,Jefi R. Zega,HR / GA Coordinator,HR / GA,HR_GA,On-Site,D,2026-07-07,30,92,2026-08-06,2026-11-06,Albert A. Gea,82165171882,CH-05 (LOG),First Aider
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,D,,,,,,,,,
